"","model","year","expected","Ecov"
"405","fit1",2006,234812.919653116,"noise1"
"406","fit1",2007,166836.37874551,"noise1"
"407","fit1",2008,155749.414999064,"noise1"
"408","fit1",2009,178364.061803707,"noise1"
"409","fit1",2010,346513.650145373,"noise1"
"410","fit1",2011,362080.240823123,"noise1"
"411","fit1",2012,326684.504598125,"noise1"
"412","fit1",2013,623211.732184565,"noise1"
"413","fit1",2014,562265.697755127,"noise1"
"414","fit1",2015,854449.769034021,"noise1"
"415","fit1",2016,835307.772718153,"noise1"
"416","fit1",2017,1271506.23663324,"noise1"
"417","fit1",2018,1177324.27984374,"noise1"
"418","fit1",2019,906243.689534085,"noise1"
"419","fit1",2020,484812.297696044,"noise1"
"420","fit1",2021,513377.200130154,"noise1"
"421","fit2",1992,688868.991622824,"noise1"
"422","fit2",1993,744016.655637028,"noise1"
"423","fit2",1994,782233.540653865,"noise1"
"424","fit2",1995,506318.221394292,"noise1"
"425","fit2",1996,511322.772929371,"noise1"
"426","fit2",1997,484986.087855863,"noise1"
"427","fit2",1998,355693.586447963,"noise1"
"428","fit2",1999,336559.653027177,"noise1"
"429","fit2",2000,335592.344019241,"noise1"
"430","fit2",2001,264506.134328688,"noise1"
"431","fit2",2002,216047.84480996,"noise1"
"432","fit2",2003,359889.525691565,"noise1"
"433","fit2",2004,327031.257182761,"noise1"
"434","fit2",2005,324457.367916015,"noise1"
"435","fit2",2006,312850.218910105,"noise1"
"436","fit2",2007,254425.505693195,"noise1"
"437","fit2",2008,289282.085209431,"noise1"
"438","fit2",2009,296365.732294303,"noise1"
"439","fit2",2010,566908.751854865,"noise1"
"440","fit2",2011,581657.467684581,"noise1"
"441","fit2",2012,535955.178811316,"noise1"
"442","fit2",2013,518195.14187676,"noise1"
"443","fit2",2014,384847.285677844,"noise1"
"444","fit2",2015,886517.13688955,"noise1"
"445","fit2",2016,900942.487899626,"noise1"
"446","fit2",2017,635017.343605594,"noise1"
"447","fit2",2018,464663.924234183,"noise1"
"448","fit2",2019,376821.466394236,"noise1"
"449","fit2",2020,376774.922705955,"noise1"
"450","fit2",2021,437260.128449042,"noise1"
"451","fit3",1992,632130.686464017,"noise1"
"452","fit3",1993,490677.96559663,"noise1"
"453","fit3",1994,531456.773720992,"noise1"
"454","fit3",1995,570161.183502064,"noise1"
